row,ticker,quantity,average_cost,price_reference
15,SUZB3,773,58.506,41.49
16,KLBN11,582,18.641,17.3
17,BRAV3,1232,29.847,18.47
18,CMIN3,18457,4.865,5.61
19,VALE3,1346,63.445,71.07
20,BPAC11,1147,34.669,51.15
21,INBR32,1037,36.019,27.01
22,BBAS3,2146,20.405,18.31
23,BBDC4,1182,15.207,16.37
24,CXSE3,1216,12.395,17.95
25,AXIA3,967,41.051,50.37
26,AXIA7,246,30.1,50.11
27,AURE3,353,11.74,10.16
28,KEPL3,4672,8.287,5.68
29,TTEN3,1275,11.296,9.89
30,AGRO3,735,23.94,18.21
32,MBRF3,4130,13.308,15.76
33,FLRY3,641,17.389,18.24
34,SBSP3,3585,14.113,23.99
35,ORVR3,678,31.66,15.41
36,CYRE3,2679,20.83,21.7
37,CYRE4,507,26,21.06
38,ZAVI11,146,9.711,9.56
39,XPML11,115,101.587,100.19
40,XP FMP ELET3,1,24477.28,43817.87
41,BNP PARIBAS RUBI CIC RF CP,1,51781.68,55548.58
42,AZ Quest Valore FIRF CP,1,57993.59,61700.19
43,KINEA GAMA FIFI CIC EM AÇÕES RL,1,109166.39,99156.86
44,TREND INVESTBACK FIC,1,59.98,63.42
45,TC COSMOS - GENIAL,1,19796.100000000006,35229.44
46,SISPRIME,1,4550,6689.16
47,FGTS,1,0.0001,52248.099999999984
48,NET,10.22344,76.358,306.02
49,MSFT,15.74321,419.12,483.428
50,GOOGL,21.04408,230.696,340.945
51,MU,13.12204,101.227,1020.84
52,TSM,16.62096,141.964,430.8599
53,AAPL,2.081979,212.426,304.63
54,NVIDIA,31.27505,199.594,226.88
55,CRWV,3.07791,119.545,104.065
56,SOUN,6.13894,9.450000000000001,6.995
57,PGEN,206.4062,1.992,6.46
58,TWST,9.1447,29.155,121.445
59,UNH,1.72027,318.118,394.435
60,ABBV,0.84991,203.479,251.095
61,NEE,1.56238,70.41,85.69
62,ENPH,1.90064,42.46,39.08
63,PLTR,5.25126,136.574,174.5351
64,LMT,2.16067,515.95,600.52
65,CRWD,16,76.86075,215.41
66,TSLA,10.56739,194.768,340.515
67,SPCX,2.76261,197.294,147.7299
68,AMZN,9.42799,186.331,260.605
69,CVX,16.285674,161.621,201.655
70,BAC,33.97362,31.761,64.905
71,BANC,59.63738,14.517,19.57
72,INDA ETF,104.80464,49.786,49.795
73,HDB ADR,2.93283,35.476,23.125
74,IBN ADR,1.04016,31.729,29.585
75,INFY ADR,11.53575,17.638,11.875
76,URNM,139.79477,57.955,56.14
77,URA,4.43736,52.452,45.795
78,BTC - LEDGER,0.0987124,65592.453,68144.8
79,BTC - BINANCE,0.01952,,
80,ETHEREUM - LEDGER,2.62623,3042.36,2098.33
81,ETH - BINANCE,0.35559999999999997,,
82,SOL - LEDGER,32.06325979,132.44,71.3
83,SOL - BINANCE,7.675724,,
84,AVAX,31.394551709999998,38.653,6.128
85,BNB,1.56109,3602,2946
86,AURY,101.9902,13.8073,0.3175
87,FTT,7.274513000000001,62.06,1.82
90,"PRÉ 15,31% AA",1,930.94,1426.52
91,"PRE 15,05% AA",1,1058.98,1534.77
92,"PRÉ 14,90% AA",1,1146.71,1529.83
94,"IPCA+8,25%",1,3999.95,5008.39
95,"IPCA+8,8%",1,974.77,1204.77
96,"IPCA+8,3%",1,499.69,338.03
97,"IPCA+6,85",1,4000,4757.97
98,"IPCA+6,55%",1,5000,5848.39
99,"IPCA+7,01%",1,4234.47,4567.47
101,"IPCA+7,95%",1,5000,5682.97
102,"IPCA+7,4%",1,7818.69,4235.75
103,PRE 15%,1,2949.31,3429.55
104,99.5% CDI ISENTO,1,1054.3,946.19
105,TESOURO SELIC 31,1,3208.66,3507.18
106,TESOURO SELIC 31,1,17590.19,17590.19
107,CDB XP -AGO/28,1,7000,7000
108,TESOURO SELIC 31,1,11573.56,11573.56
111,#REF!,CARTEIRA,CUST0,LUCRO ATUAL
113,STRIKE,PREÇO,ITM/ATM/OTM,POSIÇÃO
