row,movement_date,settlement_date,description,value_brl,balance_brl,category
15,2026-08-28,2026-08-28,Taxa de intermediação doador  TTEN3 2026081901111734300001-1,-0.45,563.18,aluguel_acoes_intermediacao
16,2026-08-28,2026-08-28,Taxa de intermediação doador  CYRE3 2026082601074174590001-2,-1.74,563.63,aluguel_acoes_intermediacao
17,2026-08-28,2026-08-28,DEBITO CBLC IRRF S/ RENDIMENTO DE BTC TTEN,-0.33,565.37,aluguel_acoes_irrf
18,2026-08-28,2026-08-28,DEBITO CBLC IRRF S/ RENDIMENTO DE BTC CYRE,-1.18,565.7,aluguel_acoes_irrf
19,2026-08-28,2026-08-28,Crédito Ref. Taxa de Remuneração BTC TTEN,1.49,566.88,aluguel_acoes_bruto
20,2026-08-28,2026-08-28,Crédito Ref. Taxa de Remuneração BTC CYRE,5.27,565.39,aluguel_acoes_bruto
21,2026-08-27,2026-08-27,Taxa de intermediação doador  MBRF3 2026072801046284870001-2,-81.4,560.12,aluguel_acoes_intermediacao
22,2026-08-27,2026-08-27,Taxa de intermediação doador  BBDC4 2026082001113678690001-1,-0.02,641.52,aluguel_acoes_intermediacao
23,2026-08-27,2026-08-27,Taxa de intermediação doador  MBRF3 2026072800998699400001-2,-0.83,641.54,aluguel_acoes_intermediacao
24,2026-08-27,2026-08-27,Taxa de intermediação doador  MBRF3 2026072800878449260001-2,-12.82,642.37,aluguel_acoes_intermediacao
25,2026-08-27,2026-08-27,Taxa de intermediação doador  CYRE3 2026072901074174590001-2,-0.96,655.19,aluguel_acoes_intermediacao
26,2026-08-27,2026-08-27,Crédito Ref. Taxa de Remuneração BTC MBRF,311.02,656.15,aluguel_acoes_bruto
27,2026-08-27,2026-08-27,Crédito Ref. Taxa de Remuneração BTC CYRE,3.2,345.13,aluguel_acoes_bruto
28,2026-08-27,2026-08-27,Crédito Ref. Taxa de Remuneração BTC BBDC,0.09,341.93,aluguel_acoes_bruto
29,2026-08-27,2026-08-27,DEBITO CBLC IRRF S/ RENDIMENTO DE BTC MBRF,-69.96,341.84,aluguel_acoes_irrf
30,2026-08-27,2026-08-27,DEBITO CBLC IRRF S/ RENDIMENTO DE BTC CYRE,-0.72,411.8,aluguel_acoes_irrf
